sample_index,mean_longitude_deg_0,period_days_0,k_0,h_0,inclination_deg_0,longitude_of_ascending_node_deg_0,mass_planet_star_ratio_0,radius_planet_star_ratio_0,mean_longitude_deg_1,period_days_1,k_1,h_1,inclination_deg_1,longitude_of_ascending_node_deg_1,mass_planet_star_ratio_1,radius_planet_star_ratio_1,mean_longitude_deg_2,period_days_2,k_2,h_2,inclination_deg_2,longitude_of_ascending_node_deg_2,mass_planet_star_ratio_2,radius_planet_star_ratio_2,mass_star_m_sun,radius_star_r_sun,BJD2454900+dt
0.0,54.0,45.1545056362657,-0.0091015410868295,-0.0640208330061469,90.0,0.0,6.533024809484118e-08,0.07414,213.9448631962233,85.3111913766799,0.014023125385919,-0.0418400711185967,90.0,0.0,9.605264560858862e-06,0.094,289.5493159504132,130.1871162787677,0.0106853599936951,-0.0333103312950621,90.0,0.0,1.542079974299062e-05,0.10141,1.04,0.94,87.4576020139563
1.0,54.00000000000006,45.154496002642965,-0.0053367028711359,-0.0262014251583512,90.0,0.0,1.7859802179121048e-05,0.07414,215.18284974163257,85.30955518665874,0.0060485282427523,-0.0026065923294165,90.0,0.0,1.3633408210059804e-05,0.094,291.0059831948154,130.184333014025,-0.0003526850362403,0.0011667539939088,90.0,0.0,2.760164696572465e-05,0.10141,1.04,0.94,87.51797803841853
2.0,54.0,45.15373749944092,-0.0215064043818408,-0.0481265377038835,90.0,0.0,5.341761547617271e-06,0.07414,211.1744245006529,85.31385043324191,0.0311953187640098,-0.0351028861618892,90.0,0.0,1.1103214375769893e-05,0.094,287.9148880998285,130.18396403221217,0.020317419249839,-0.0260027584340236,90.0,0.0,1.9155497556257665e-05,0.10141,1.04,0.94,87.27417080813659
3.0,54.0,45.15423749432342,-0.0166365233735496,-0.0243741860081725,90.0,0.0,1.24754759101785e-05,0.07414,214.72043889856437,85.31016486777614,0.003893899138191,-0.0042344799505286,90.0,0.0,1.2893119881408376e-05,0.094,290.7288884022692,130.18622860030607,-0.0019048126377554,-0.0019066126147174,90.0,0.0,2.492223502523055e-05,0.10141,1.04,0.94,87.3513680579011
4.0,54.0,45.15384868367054,-0.0341567761384666,-0.0470329504968759,90.0,0.0,3.8495889051372586e-06,0.07414,213.47299094157148,85.31166094817236,0.0048679479373192,-0.002210202089678,90.0,0.0,1.0573611732158512e-05,0.094,289.75928459435806,130.1857111727067,0.0001573600263473,-0.000118818003317,90.0,0.0,1.897727543787538e-05,0.10141,1.04,0.94,87.08763668099323
5.0,54.00000000000006,45.15372461622199,-0.0447276455304249,-0.0495165334536164,90.0,0.0,1.1189185991448296e-05,0.07414,212.65174642157427,85.31385645816808,0.0064953570194384,0.0009571004070655,90.0,0.0,9.451546222138848e-06,0.094,289.3358971760743,130.18536928996517,7.66027764593611e-05,0.0005437192189968,90.0,0.0,1.5916729933965808e-05,0.10141,1.04,0.94,86.92866176369063
6.0,54.0,45.1541406272757,-0.0179987315404549,-0.0328352090861902,90.0,0.0,1.2127168933995367e-05,0.07414,214.1696523761192,85.31110549974447,0.0078206981591926,-0.0140383983987911,90.0,0.0,1.3342541044258358e-05,0.094,290.24373708480573,130.18713341603,0.001849586518949,-0.0100526795039433,90.0,0.0,2.12508483131254e-05,0.10141,1.04,0.94,87.32983199090768
7.0,53.99999999999994,45.153990586321214,-0.018329549982742,-0.0594899801843269,90.0,0.0,1.0026075748103358e-05,0.07414,211.55763498487573,85.31479778848414,0.0293668317224801,-0.0525460203632402,90.0,0.0,1.0974671124947366e-05,0.094,288.2425390536134,130.1856512501055,0.0184994743845256,-0.0429499579478137,90.0,0.0,1.1106830285017377e-05,0.10141,1.04,0.94,87.31971927653576
8.0,54.00000000000006,45.15387749978052,-0.0299720377530143,-0.0326288017867006,90.0,0.0,2.5184450878605004e-06,0.07414,214.14643060802172,85.31134044620845,0.0014738651210735,-0.0057827839420521,90.0,0.0,1.2241606123648345e-05,0.094,290.32839025109126,130.18656392886928,-0.0031711651465091,-0.0026391489277655,90.0,0.0,2.1544914044446806e-05,0.10141,1.04,0.94,87.15404297365842
9.0,54.00000000000006,45.15380885762006,-0.0394739237031174,-0.0517113130234822,90.0,0.0,1.0923472909176165e-05,0.07414,211.8794363576877,85.31431692880395,0.0160364355981358,-0.007840817363188,90.0,0.0,8.831160427750763e-06,0.094,288.60816212762853,130.18462881601704,0.0082352035647912,-0.006498187132477,90.0,0.0,1.4796766582416055e-05,0.10141,1.04,0.94,87.00556758964191
10.0,53.99999999999994,45.15387147765745,-0.0486181232429712,-0.0603590693689901,90.0,0.0,5.338192171520197e-06,0.07414,213.23433842412769,85.31288629756679,-0.0009587747933313,-0.0042993813964401,90.0,0.0,8.962782191542455e-06,0.094,289.65656169288644,130.18631037689255,-0.0042936382323057,-0.0041265936047721,90.0,0.0,1.362078387392429e-05,0.10141,1.04,0.94,86.86325189698856
11.0,54.0,45.15426927715112,-0.022647743687465,-0.0365918095278056,90.0,0.0,1.0694879121633824e-06,0.07414,214.7992891028362,85.31105112707812,-0.0001966284774761,3.5751813269501904e-05,90.0,0.0,1.1688561755472608e-05,0.094,290.4990107795987,130.18864321445056,-0.0020734848293243,0.0008390450209271,90.0,0.0,1.7318652023477733e-05,0.10141,1.04,0.94,87.2605290948224
12.0,54.0,45.15441760814865,-0.0188903038411763,-0.0550719942741537,90.0,0.0,8.445253185455724e-06,0.07414,213.90703335030943,85.31530833581314,0.0100132645424713,-0.0033118644733434,90.0,0.0,1.0025493123970997e-05,0.094,290.47430426585777,130.18350619500953,-0.0006408634393914,-0.0017166196841928,90.0,0.0,1.087599043267127e-05,0.10141,1.04,0.94,87.3123988483718
13.0,54.0,45.15407293551687,-0.0203271630409931,-0.0597678958805625,90.0,0.0,8.620842950822614e-06,0.07414,212.37479145914284,85.31219192906067,0.0212037953676824,-0.0485650842906619,90.0,0.0,1.06771696777496e-05,0.094,288.77032090988865,130.1855455535243,0.0132981214108036,-0.0387585458324599,90.0,0.0,1.774650146486575e-05,0.10141,1.04,0.94,87.28892042755794
14.0,53.99999999999994,45.1542118838588,-0.0248658481371628,-0.1009971365055574,90.0,0.0,1.4904192167237486e-06,0.07414,210.75178232970717,85.31276101679376,0.0308630821459479,-0.0916769678071394,90.0,0.0,7.976671287732918e-06,0.094,287.5705554948142,130.1847058493856,0.0209289036353102,-0.0760376590939437,90.0,0.0,1.148608766202864e-05,0.10141,1.04,0.94,87.20720241407633
15.0,54.0,45.15433098396909,-0.0105352018069031,-0.0251111536709962,90.0,0.0,1.6608224616247735e-06,0.07414,214.26099045858447,85.31295012580664,0.0111788060596482,-0.0020348045662193,90.0,0.0,1.3563630997098582e-05,0.094,290.34466798248815,130.18598196510075,0.0035709360698461,0.0011280876840215,90.0,0.0,1.9316747385969563e-05,0.10141,1.04,0.94,87.4413859792243
16.0,54.00000000000006,45.15466018797814,-0.0039125981092402,-0.0960456145796305,90.0,0.0,6.905871826026612e-06,0.07414,213.38342146778857,85.31174588639723,0.0212799588210968,-0.066295930362758,90.0,0.0,7.540127979106106e-06,0.094,289.34172230914,130.18397597535642,0.0139886823819778,-0.0544997280711593,90.0,0.0,1.4206278241769898e-05,0.10141,1.04,0.94,87.53380080462898
17.0,54.00000000000006,45.15371690065072,-0.0413808256226965,-0.0570569830940887,90.0,0.0,8.753456438720728e-06,0.07414,213.7390767806964,85.31468791670005,-0.0010793910977781,-0.0037380096316123,90.0,0.0,1.0367336068524178e-05,0.094,290.5287800800319,130.18368261843065,-0.0092383263311704,-0.0014320234620828,90.0,0.0,1.92270619568595e-05,0.10141,1.04,0.94,86.97611648132728
18.0,54.0,45.15424556782663,-0.0179533142453705,-0.036089461033593,90.0,0.0,9.953045287878578e-06,0.07414,214.87750453559937,85.31132327329833,0.0017312047473766,-0.011166600867377,90.0,0.0,1.1777144625821037e-05,0.094,290.96786482153794,130.1850641117755,-0.0044733421177554,-0.0071443751667071,90.0,0.0,2.200461103249593e-05,0.10141,1.04,0.94,87.33075707998972
19.0,53.99999999999994,45.15372267410833,-0.0369447965425242,-0.041599545564717,90.0,0.0,6.372695047773362e-06,0.07414,213.59131850472428,85.30994043423814,0.0023560939301132,-0.0022153912156468,90.0,0.0,1.093094912879545e-05,0.094,289.67776690250906,130.18694042408447,-6.297714807161278e-05,-0.0004411748992792,90.0,0.0,2.3495268924447457e-05,0.10141,1.04,0.94,87.04762264479206
20.0,54.0,45.15393268397675,-0.0282124568050825,-0.040971149653272,90.0,0.0,9.3807448379053e-06,0.07414,213.50181230072693,85.31255178902921,0.0080438384325455,-0.0075314086898963,90.0,0.0,1.1233242787020784e-05,0.094,289.9013533711867,130.18503061249464,0.0010963497684046,-0.0043665804526549,90.0,0.0,2.0502134408188343e-05,0.10141,1.04,0.94,87.17708002143675
21.0,54.00000000000006,45.15400721292143,-0.0219788197245924,-0.0369850072810915,90.0,0.0,9.280074222111929e-06,0.07414,212.67350465468377,85.31433695497668,0.0188105273196181,-0.009192550126029,90.0,0.0,1.186819319790497e-05,0.094,289.16455654820186,130.18593851065876,0.009784148862623,-0.0065767349321771,90.0,0.0,1.1951316792961958e-05,0.10141,1.04,0.94,87.27063357445091
22.0,54.0,45.154096966502976,-0.0257103610623169,-0.044854431513884,90.0,0.0,7.87122272274908e-06,0.07414,214.55527539323748,85.31104356114217,0.0001435622900796,-0.0023650625692103,90.0,0.0,1.1113085851193776e-05,0.094,290.77149681293787,130.18631824712688,-0.0055494941354399,-0.0018362112758793,90.0,0.0,1.984548229375245e-05,0.10141,1.04,0.94,87.21373207710846
23.0,54.00000000000006,45.15452360458998,-0.0102273304203546,-0.0233688235412655,90.0,0.0,1.5023473115697154e-06,0.07414,215.1503869639111,85.312062384668,0.0033287221767278,-0.0167614317702743,90.0,0.0,1.4437124792160623e-05,0.094,291.0393525109469,130.18792223753536,-0.0022863454429699,-0.0116063062131233,90.0,0.0,1.797109241845041e-05,0.10141,1.04,0.94,87.44556106690261
24.0,54.0,45.1537180305148,-0.0264856858168258,-0.0400990417226879,90.0,0.0,5.810345132433848e-06,0.07414,213.504174211998,85.31197200314121,0.0090582144915611,-0.006524536093624,90.0,0.0,1.334287350090066e-05,0.094,289.7221191845859,130.18686714402588,0.003310264980912,-0.002982888569454,90.0,0.0,2.2303436207763883e-05,0.10141,1.04,0.94,87.20423619844739
